Seq id,X,Y,Direction,Magnitude
gi|23128193|ref|ZP,-0.0449883497743,11.6809486438,90.2206695623,11.6810352782
gi|83593709|ref|YP,-5.68640003614,6.17393930299,132.64608553,8.39360899066
gi|34497706|ref|NP,-3.43209936824,11.2730945062,106.932897487,11.7839707153
gi|62466133|gb|AAX,-5.35155622969,7.87342569738,124.203890877,9.51997827159
gi|15965976|ref|NP,-21.0509605591,11.7908425507,150.746398701,24.1281352059
gi|16121810|ref|NP,-14.0882939784,10.4629550837,143.399830654,17.5486026882
gi|131606|sp|P2518,-14.8424315171,2.86555869118,169.072618439,15.1165207621
gi|33602800|ref|NP,2.35984024346,11.5784628516,78.4801610048,11.8164989731
gi|77457158|ref|YP,-8.47459652561,12.553787751,124.021826268,15.1464970593
gi|17937718|ref|NP,-13.1962464335,9.92032998637,143.065841463,16.5092055221
gi|43774910|gb|EAF,11.1510529897,2.10842092563,10.7069829285,11.348630824
gi|77457101|ref|YP,-3.18254646317,0.0976397109659,178.242731351,3.18404389156
gi|92115373|ref|YP,-8.42020931282,12.0741692692,124.890908883,14.7202407729
gi|75176504|ref|ZP,-8.22964824207,15.8897824027,117.38057708,17.8944766616
gi|88793399|ref|ZP,-13.4337998325,9.4440530578,144.892519725,16.4212397857
gi|110592741|ref|Z,1.15947366883,14.0703540653,85.2891602677,14.1180467031
gi|21244095|ref|NP,-18.8206445758,-5.78287036401,-162.919792171,19.6890388769
gi|84359492|ref|ZP,-2.21861063466,19.6954000204,96.4270547116,19.8199650634
gi|75676238|ref|YP,-8.07177608256,-2.16691963102,-164.972891398,8.35757798733
gi|44184538|gb|EAH,7.96950479869,-2.14550906273,-15.0676378565,8.25325486548
gi|90023251|ref|YP,4.00417576417,3.15384087099,38.2253109526,5.09707129535
gi|50083770|ref|YP,-0.407816357571,11.6979359854,91.9966511021,11.7050425245
gi|26246096|ref|NP,-12.1552189724,18.4034040329,123.444264693,22.0552630513
gi|84358246|ref|ZP,-13.8637375413,5.72632341983,157.557257071,14.9997999495
gi|89074408|ref|ZP,-10.535506961,-3.36183669853,-162.302331961,11.0588811782
gi|83592181|ref|YP,-8.62925166038,10.8961707165,128.377557941,13.8992992809
gi|16128773|ref|NP,5.98765978644,15.1108530397,68.3841046655,16.2539210441
gi|70733632|ref|YP,-13.9552258373,8.88894024758,147.504436664,16.5457422588
gi|70729759|ref|YP,-0.164093437936,5.36757014851,91.7510593843,5.37007783515
gi|70728797|ref|YP,2.58821821186,17.9030311651,81.7738162107,18.0891514011
gi|23011372|ref|ZP,-6.32191497633,16.6865393785,110.749852072,17.8439683198
gi|17229650|ref|NP,-4.75783771683,17.3799351398,105.3098925,18.0194107896
gi|70730679|ref|YP,-11.3588610098,-3.6998246242,-161.958459539,11.9462306059
gi|2791554|emb|CAA,-14.3398072425,3.92639123021,164.687124259,14.8676366597
gi|73542563|ref|YP,-9.08757201706,-5.03111376668,-151.029957584,10.3873033506
