Seq id,X,Y,Direction,Magnitude
gi|50084146|ref|YP,0.0702746858257,-0.92934439952,-85.675666929,0.931997609647
gi|83750019|ref|ZP,7.89901404672,2.75732431472,19.242662559,8.36643653456
gi|78189021|ref|YP,7.65432711918,-8.16687354214,-46.855515289,11.1931473278
gi|17546498|ref|NP,0.277633881283,-0.258532423751,-42.959643829,0.379367349895
gi|70728929|ref|YP,1.2654861434,-5.24967780714,-76.4468670105,5.40005298658
gi|46156194|ref|ZP,-0.883268502492,2.06082466725,113.19995119,2.24213326023
gi|84715959|ref|ZP,-4.51435814911,3.96778930363,138.686902681,6.01022307876
gi|15677604|ref|NP,1.18584661778,7.07423617495,80.4840428269,7.17293870459
gi|68549856|ref|ZP,4.7812907673,-1.17387207681,-13.7940600577,4.92328315804
gi|116694203|ref|Y,12.4999331177,1.43441637507,6.54628092335,12.5819663918
gi|2244626|dbj|BAA,14.0874699584,-0.883115388255,-3.58706423265,14.1151231882
gi|92115267|ref|YP,3.0935853825,-4.00408174534,-52.310040507,5.05993489505
gi|53688216|ref|ZP,-3.79792129222,2.52174455581,146.416626685,4.55888163332
gi|39996255|ref|NP,-2.77254288528,-5.79708195087,-115.560169727,6.42597488292
gi|115358532|ref|Y,8.77383623306,1.1307603617,7.34372346749,8.8464015984
gi|84358792|ref|ZP,3.5486218415,-14.3737673577,-76.1320287503,14.8053336682
gi|75910380|ref|YP,6.30821728996,-0.303417119239,-2.75373086611,6.3155100606
gi|53687361|ref|ZP,-0.0375745382972,7.83983687917,90.2746034147,7.83992692173
gi|104781306|ref|Y,1.1492914128,-16.1573850694,-85.9313450122,16.1982086365
gi|77460014|ref|YP,3.87764354113,-10.9439106972,-70.4897591549,11.6105684951
gi|17549664|ref|NP,4.25037017958,-2.38821927432,-29.3309792746,4.8753705465
gi|50119350|ref|YP,0.654311079697,-9.12809892293,-85.8999949224,9.15151970636
gi|15597659|ref|NP,2.92293775205,-8.28657875728,-70.5706462749,8.78697630605
gi|37524555|ref|NP,2.96173172635,-7.92808654655,-69.515589102,8.46323880724
gi|37525118|ref|NP,-2.54807036431,-12.5656636525,-101.463028587,12.8214104376
gi|37524332|ref|NP,0.662005062991,-5.73355575769,-83.4137069641,5.77164728045
gi|77972817|ref|ZP,5.37790897086,0.802639225666,8.48859209332,5.43747502298
gi|123205|sp|P1532,7.32762507157,-10.1784658952,-54.2493395831,12.5417405956
gi|73539800|ref|YP,7.26011602599,-1.07809879553,-8.44647512434,7.33972627035
gi|33440438|gb|AAQ,-5.95931965086,1.37370536165,167.019279629,6.11559948997
gi|71737455|ref|YP,3.14768721187,-2.75227804827,-41.1658336272,4.18126407187
gi|77972001|ref|ZP,-0.624658378895,-11.3776673284,-93.1425064882,11.3948019696
gi|109671067|ref|Z,8.03774061289,5.33073052801,33.5528373508,9.64478937678
gi|7716521|gb|AAF6,6.21464146004,-10.5284169302,-59.4477888299,12.2257650695
gi|32400316|dbj|BA,1.59634080938,-2.81309614006,-60.4264953158,3.23447273492
gi|77978355|ref|ZP,-6.5364629694,-2.27912667714,-160.77741478,6.92241045885
gi|106882647|ref|Z,-2.67102627744,-4.03717280107,-123.48894462,4.84077944142
gi|77956969|ref|ZP,-6.21229277054,-4.3313920622,-145.11466474,7.57321191195
gi|15601921|ref|NP,-1.62812707861,-2.85839102709,-119.665650627,3.28955879228
gi|27378364|ref|NP,8.54380117921,3.55143899064,22.5714028515,9.25252708691
gi|46143523|ref|ZP,0.411080830677,0.617480435151,56.3467438476,0.741801548357
gi|34497372|ref|NP,10.0519306233,-15.4972427254,-57.0314676783,18.4717579387
gi|34498328|ref|NP,1.75369747662,-4.64393367138,-69.3118641371,4.96402808047
gi|70734123|ref|YP,0.894512473416,-11.5280335881,-85.5630508703,11.5626861487
gi|1772622|gb|AAC3,0.272182223541,-8.17127592019,-88.0922038394,8.17580780882
gi|57168816|ref|ZP,14.706088064,-8.70031213706,-30.6091086487,17.0869674731
gi|22297981|ref|NP,7.97917423362,-5.35085104369,-33.8458884594,9.60722792184
gi|57157508|dbj|BA,9.55969783664,-9.45142696434,-44.673696479,13.44311327
gi|42759854|gb|AAK,-4.55308166339,-4.78394754713,-133.583602363,6.60429456999
gi|71979951|gb|AAZ,11.4599236273,-9.44677387104,-39.4998268864,14.8516459059
gi|83745591|ref|ZP,14.4581014938,-13.696539835,-43.450570504,19.9156195549
gi|77977130|ref|ZP,3.55436375076,0.477416925128,7.65009799538,3.58628339554
gi|44357203|gb|EAI,7.5362946902,-8.89975861404,-49.7421521164,11.6619655739
gi|77958448|ref|ZP,-5.8607291579,-6.51151762822,-131.988978559,8.76059404863
gi|77962891|ref|ZP,-0.555754121739,0.150333323303,164.863550753,0.575728019055
gi|15021659|gb|AAK,-1.68317967269,-5.04639409989,-108.445660192,5.31969803861
gi|44475936|gb|EAJ,-5.66524028262,-3.2257180138,-150.343346853,6.51921806387
gi|14279145|gb|AAK,2.93578520606,-5.24688910295,-60.7717332701,6.01237723657
gi|78189023|ref|YP,5.01316399365,-18.8487821994,-75.1059876291,19.5040612086
template_2QDZ,13.4939621168,-13.5917789244,-45.2069157298,19.1526360573
gi|16123407|ref|NP,-7.1746712505,-9.66015341462,-126.601560339,12.033057448
gi|91779928|ref|YP,3.83434005286,-3.82058234944,-44.8970260635,5.41285628203
gi|84358288|ref|ZP,4.16200037375,-1.69764232738,-22.1901033598,4.49491229979
gi|1151071|gb|AAC4,-5.58420748133,-2.38674584745,-156.857654494,6.07288472926
gi|22127695|ref|NP,-12.6832589685,-7.12537123073,-150.673009899,14.5477136773
gi|83646119|ref|YP,6.16059201261,0.206460245157,1.91943810744,6.16405059832
gi|114320208|ref|Y,0.900268184632,-1.27649266331,-54.8059447443,1.56202315083
gi|75429900|ref|ZP,-10.3901600806,5.44611633114,152.338226187,11.7309679734
gi|53723069|ref|YP,7.21725932284,2.16082922168,16.6675673256,7.53379154598
gi|33152269|ref|NP,4.23045754204,-6.87334736741,-58.3882334422,8.07091537857
