2O4V,13.6141221559
2J1N,10.2193779327
1AF6,9.49765829714
2POR,9.34301568719
1E54,7.9699995713
3FHH,7.79458359681
3CSL,7.41596694703
1K24,7.07623271538
3PRN,6.84334899841
1A0S,6.70727504174
2GUF,6.39577575334
1THQ,5.21047606369
3EFM,4.96514316524
1FEP,4.43620069186
3EMN,4.40390490801
3BS0,4.36103642928
1T16,4.35895910937
2F1C,4.02311750427
1QJP,3.5203610356
1UYN,3.50046084143
2WJR,3.4140770289
2VQI,3.30845527014
2QDZ,3.19534007715
3JTY,2.97342753605
2F1V,2.5006121507
1QJ8,2.34164420457
1TLY,2.25227116304
1QD6,2.07198582196
3DZM,1.93598758445
1I78,1.67135617461
1QFG,1.58543162616
3DWO,1.55877387392
2ERV,0.859098389441
1KMO,0.838442988799
1P4T,0.823683956337
