1AF6,13.7558465426
3CSL,12.6747395946
2QDZ,11.9775570087
3EFM,10.0260446785
3BS0,9.39283111434
2WJR,9.14614423463
3DZM,8.77050255877
2GUF,8.71203874398
1QFG,8.59566720943
1A0S,7.77929526322
1UYN,7.04988992001
1FEP,6.84286437091
2F1V,6.6938846882
3JTY,6.315265117
1E54,5.82055138045
3FHH,5.70514926511
2F1C,5.50668753678
2O4V,5.1606870029
1QJ8,4.69557528748
2VQI,4.64025541195
3EMN,4.61797319664
3DWO,4.34388570922
1T16,4.33605705875
3PRN,4.12238780099
2J1N,3.92845016377
2POR,3.77401876904
1TLY,3.61502635485
1QJP,3.54117764871
1KMO,3.48212091293
1K24,3.20780182139
2ERV,2.71730656931
1I78,2.45908297763
1QD6,2.33265983323
1P4T,2.31140151996
1THQ,2.25103852098
