Seq id,X,Y,Direction,Magnitude
gi|51246554|ref|YP,0.605457683052,3.11247173516,78.9919388144,3.17081366657
gi|16765721|ref|NP,4.24566289123,-2.04234377053,-25.689526249,4.71135028023
gi|16121517|ref|NP,6.89817924028,-0.565251010991,-4.68446823608,6.92129941098
gi|16082686|ref|NP,4.14067707556,1.52554380983,20.2252395947,4.4127645031
gi|117623647|ref|Y,5.4874942296,0.637363842979,6.62512928872,5.52438463435
gi|13475122|ref|NP,6.17319340826,1.7235143967,15.5993785813,6.4092759912
gi|77956347|ref|ZP,8.72604632367,2.20016617222,14.1514674637,8.99914527209
gi|84060870|ref|YP,5.86611929227,0.833026175079,8.08232463451,5.92497157457
gi|113877872|ref|Z,4.09763985063,-11.1976330828,-69.9005051867,11.9238265252
gi|27228688|ref|NP,6.19664090653,2.98480978937,25.7192752851,6.8780410004
gi|77976291|ref|ZP,15.6940288038,4.2613454122,15.1910653984,16.2622755116
gi|59711853|ref|YP,1.92544148962,5.99077529031,72.1825401167,6.29259195474
gi|110632419|ref|Y,1.84939923887,-6.86311516778,-74.9187663811,7.10792707833
gi|54295228|ref|YP,6.30441143306,-2.20915508461,-19.3111838504,6.68026718815
gi|13449231|ref|NP,-0.10333891085,4.75117723569,91.2459964675,4.75230092224
template_1I78,6.82099818226,1.83947388738,15.0923838444,7.06467836386
