Seq id,X,Y,Direction,Magnitude
gi|26989788|ref|NP,-0.867461986476,-1.83268144087,-115.329569475,2.02761228091
gi|15832769|ref|NP,-2.15207969129,1.26653021403,149.522569447,2.49710748281
gi|71736402|ref|YP,-6.38736878244,4.03288543521,147.7323219,7.55398205561
gi|15800732|ref|NP,-1.35454077168,7.64830019269,100.043144244,7.76732106583
gi|67547523|ref|ZP,0.994980855221,1.84478777814,61.6599264581,2.09600306504
gi|33594369|ref|NP,-7.53624944128,8.20641303439,132.562396063,11.1418252783
gi|16123205|ref|NP,-4.34055311938,8.51204775916,117.018423258,9.55486046138
gi|33602267|ref|NP,-6.20564181901,3.34605974403,151.666613519,7.05025575398
gi|33601917|ref|NP,-10.059145482,4.45071190484,156.132800916,10.9997838291
gi|77957624|ref|ZP,-6.64855499986,9.93089602263,123.801591841,11.9509823612
gi|26247147|ref|NP,1.51898478003,7.80219410235,78.9830756034,7.94868212804
gi|465619|sp|P3392,2.11665870044,0.0233878411347,0.633059103154,2.11678790749
gi|33601253|ref|NP,-9.24465661216,4.80006582022,152.560488522,10.4165401048
gi|77977360|ref|ZP,-9.5278089532,-0.235096366651,-178.586527402,9.53070898466
gi|77963418|ref|ZP,-9.41176308439,6.72812855878,144.440396816,11.5693127825
gi|28869427|ref|NP,-10.6982440608,1.65227541861,171.22040059,10.8250838354
gi|33602086|ref|NP,-4.44191761843,2.12984337498,154.38287071,4.92614097757
gi|83751177|ref|ZP,-8.54454589507,6.67822609785,141.989611744,10.8447207602
gi|22034298|gb|AAL,-5.89126652361,0.657137891919,173.635285566,5.92780325763
gi|77974678|ref|ZP,-6.84980350778,1.06944844248,171.126145525,6.93278645758
gi|77957189|ref|ZP,-12.6361527754,4.92835108072,158.693226577,13.5632223804
gi|77975760|ref|ZP,-4.78410709631,11.9253686828,111.859204598,12.8492061595
template_1UYN,-10.5363935628,-0.637844384918,-176.535698379,10.5556825818
gi|73537641|ref|YP,0.590043177233,-2.42185204696,-76.3076086409,2.49269297916
gi|984283|gb|AAC43,-3.94432095446,2.25396770889,150.25435195,4.54291076564
gi|83751176|ref|ZP,-7.44017871941,2.83945493004,159.111245132,7.9635898737
gi|77459122|ref|YP,-7.42182720278,2.05393768807,164.530952497,7.70079080708
gi|82776499|ref|YP,-2.1534732051,1.93168383789,138.10762379,2.89289635049
gi|7466262|pir||G6,0.541292198188,6.63135197723,85.333507752,6.6534071189
gi|49475344|ref|YP,-0.329424049254,1.58446746105,101.744951258,1.61835019058
gi|26988610|ref|NP,-6.32291628022,6.45801574934,134.394383672,9.03798858737
gi|34497333|ref|NP,-11.0037345375,3.17073957464,163.925598918,11.4514524503
gi|33602087|ref|NP,-5.58049882662,4.30483369731,142.35316812,7.04794724125
gi|77961204|ref|ZP,-7.6057309838,6.9060608015,137.760315861,10.2733061666
gi|33593700|ref|NP,-5.20080028133,8.2570168394,122.205362204,9.75841435134
gi|66045274|ref|YP,-9.69754801854,4.12465165821,156.958527204,10.5382725754
gi|51597164|ref|YP,-9.34773537598,0.40879904824,177.495912722,9.35666999104
gi|82736677|ref|ZP,-9.28136688618,3.40188540663,159.870675486,9.88517048896
gi|543788|sp|Q0315,-4.44228927879,-4.66238188005,-133.615224927,6.43985549775
gi|75474399|sp|Q9X,-9.17600768607,2.05394840906,167.382947157,9.4030750886
gi|77975979|ref|ZP,-4.88212303838,5.38482928137,132.196834995,7.26852885744
gi|66046637|ref|YP,-6.24524793921,4.45658375023,144.488499087,7.67230477399
gi|51597166|ref|YP,-9.19886249639,2.95719282569,162.178764952,9.66250798891
gi|33595824|ref|NP,-12.3764549429,2.78023671761,167.339295205,12.6848868012
gi|77974466|ref|ZP,-7.28238225975,-1.21927535243,-170.495235787,7.38374727101
gi|104783283|ref|Y,-7.44188201072,7.46903930022,134.895647203,10.54363106
gi|104782218|ref|Y,-3.79444503287,10.455033777,109.947351557,11.1222994199
gi|16119591|ref|NP,0.181940809287,-0.671751249207,-74.8452819892,0.695954164363
gi|16122995|ref|NP,-9.19701052181,7.8025968541,139.689258552,12.0609087637
gi|77972002|ref|ZP,-10.7951641951,5.82784973488,151.637277974,12.2678197953
gi|33596254|ref|NP,-3.8053624306,3.06460267999,141.154188608,4.88595669387
gi|33599810|ref|NP,-0.437374341911,2.89336980839,98.5959983085,2.92624079034
gi|49475345|ref|YP,-5.22528751617,2.37943204931,155.516968685,5.74154391291
gi|113876548|ref|Z,-2.77792986426,5.19168398623,118.150032425,5.88816414034
gi|49475343|ref|YP,-5.22528751617,2.37943204931,155.516968685,5.74154391291
gi|28869215|ref|NP,-4.54574406922,4.16715296613,137.488039971,6.16676195308
gi|49474105|ref|YP,-8.23414562613,-0.00704244864082,-179.950996436,8.23414863774
gi|47154998|emb|CA,0.248860916371,6.87574342569,87.9271392385,6.88024559239
