3EFM,20.4656231266
3CSL,19.374036238
2QDZ,17.5968653308
2VQI,16.1252985246
3DWO,15.3808491828
1QFG,14.1366149268
1KMO,13.7677701588
1AF6,12.0492936749
3FHH,11.3229844373
2GUF,11.2895675439
1UYN,11.0318483867
1E54,10.3840075533
1A0S,9.77316986347
2J1N,9.72751176764
1FEP,9.44854485193
3BS0,8.96649545262
3DZM,7.78191353594
2O4V,6.96490512682
1QJ8,6.89957634194
3EMN,5.671252822
1QD6,5.45625979978
2F1C,5.36402010002
1T16,5.25202419557
1K24,4.07550638713
3JTY,3.72842994043
2F1V,3.23659955211
1I78,2.93163428486
2WJR,2.64589283691
1QJP,2.29330407995
1THQ,2.24699768026
2POR,2.16761380092
2ERV,1.96967444354
1P4T,1.84562552929
1TLY,1.8262093868
3PRN,1.02974552961
